06/14,,,,,,,,06/14,,,,,,,,,,,
Blank:,,,T. versicolor:,,,P. djamor:,,Blank:,,,T. versicolor:,,,P. djamor:,,,,,
time,absorbance,,time,absorbance,,time,absorbance,time,absorbance,,time,absorbance,,time,absorbance,,,,
0 minutes,0.028,,1,0.188,,5,0.141,0,0.028,,5,0.388,,5,0.141,,,,
,,,3,0.303,,10,0.198,,,,10,0.501,,10,0.198,,,,
,,,5,0.388,,15,0.236,,,,15,0.621,,15,0.236,,,,
,,,10,0.501,,20,0.269,,,,20,0.713,,20,0.269,,,,
,,,15,0.621,,25,0.287,,,,25,0.833,,25,0.287,,,,
,,,20,0.713,,,,,,,,,,,,,,,
,,,25,0.833,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
06/24,,,,,,,,,,,,,,,,,,,
Blank:,,,T. versicolor Sisal:,,,T. versicolor Pineapple:,,,P. djamor Sisal:,,,P. djamor Pineapple:,,,T. versicolor Sisal 6/24,2.20E-03,,,
time,absorbance,,time,absorbance,,time,absorbance,,time,absorbance,,time,absorbance,,T. versicolor Pineapple 6/24,-2.74E-03,,,
0 minutes,0.002,,0 minutes,0.088,,0 minutes,0.175,,0 minutes,0.098,,0 minutes,0.127,,P. djamor Sisal 6/24,-4.40E-03,,,
,,,5 minutes,0.106,,5 minutes,0.166,,5 minutes,0.081,,5 minutes,0.14,,P. djamor Pineapple 6/24,4.34E-03,,,
,,,10 minutes,0.096,,10 minutes,0.153,,10 minutes,0.126,,10 minutes,0.143,,T. versicolor Sisal 6/25,1.54E-03,,,
,,,15 minutes,0.1,,15 minutes,0.173,,15 minutes,0.118,,15 minutes,0.135,,T. versicolor Pineapple 6/25,6.50E-03,,,
,,,20 minutes,0.107,,20 minutes,0.159,,20 minutes,0.084,,20 minutes,0.145,,P. djamor Sisal 6/25,-3.03E-03,,,
,,,25 minutes,0.102,,25 minutes,0.156,,25 minutes,0.067,,25 minutes,0.156,,P. djamor Pineapple 6/25,2.43E-03,,,
,,,,,,,,,,,,,,,T. versicolor Sisal 6/26,0.0111,,,
06/25,,,,,,,,,,,,,,,T. versicolor Pineapple 6/26,4.06E-03,,,
Blank:,,,T. versicolor Sisal:,,,T. versicolor Pineapple:,,,P. djamor Sisal:,,,P. djamor Pineapple:,,,P. djamor Sisal 6/26,-3.97E-03,,,
time,absorbance,,time,absorbance,,time,absorbance,,time,absorbance,,time,absorbance,,P. djamor Pineapple 6/26,8.83E-03,,,
0 minutes,0.015,,0 minutes,0.695,,0 minutes,1.059,,0 minutes,0.867,,0 minutes,1.188,,,,,,
,,,5 minutes,0.703,,5 minutes,1.064,,5 minutes,0.871,,5 minutes,1.191,,,,,,
,,,10 minutes,0.695,,10 minutes,1.072,,10 minutes,0.876,,10 minutes,1.197,,,,,,
,,,15 minutes,0.702,,15 minutes,1.101,,15 minutes,0.862,,15 minutes,1.198,,,,,,
,,,20 minutes,0.702,,20 minutes,1.1,,20 minutes,0.872,,20 minutes,1.199,,,6/24,6/25,6/26,means
,,,25 minutes,0.705,,25 minutes,0.992,,25 minutes,0.848,,25 minutes,1.2,,T. versicolor Sisal,0.0022,0.00154,0.0111,0.00495
,,,,,,,,,,,,,,,T. versicolor Pineapple,-0.00274,0.0065,0.00406,0.00261
06/26,,,,,,,,,,,,,,,P. djamor Sisal,-0.0044,-0.00303,-0.00397,-0.0038
Blank:,,,T. versicolor Sisal:,,,T. versicolor Pineapple:,,,P. djamor Sisal:,,,P. djamor Pineapple:,,,P. djamor Pineapple,0.00434,0.00243,0.00883,0.0052
time,absorbance,,time,absorbance,,time,absorbance,,time,absorbance,,time,absorbance,,,,,,
0 minutes,0.001,,0 minutes,1.177,,0 minutes,1.357,,0 minutes,1.276,,0 minutes,1.364,,Sisal,,,,
,,,5 minutes,1.22,,5 minutes,1.4,,5 minutes,1.309,,5 minutes,1.39,,The p-value is .331442. The result is not significant at p < .05.,,,,
,,,10 minutes,1.237,,10 minutes,1.405,,10 minutes,1.289,,10 minutes,1.412,,,,,,
,,,15 minutes,1.244,,15 minutes,1.397,,15 minutes,1.266,,15 minutes,1.411,,Pineapple,,,,
,,,20 minutes,1.245,,20 minutes,1.395,,20 minutes,1.267,,20 minutes,1.415,,The p-value is .415924. The result is not significant at p < .05.,,,,
,,,25 minutes,1.238,,25 minutes,1.39,,25 minutes,1.278,,25 minutes,1.411,,,,,,
,,,,,,,,,,,,,,,,,,,
6/27,,,,,,,,,,,,,,,,,,,