CSG Concentration,CSG %,LNR %,CMC pph,Initial Mass (g),Mass After Dissolving (g),Percent Loss %
,90,10,10,0.16,0.12,25
10,80,20,10,0.12,0.1,16.66666667
10,70,30,10,0.17,0.16,5.882352941
10,60,40,10,0.24,0.22,8.333333333
10,50,50,10,0.27,0.25,7.407407407
10,40,60,10,0.2,0.18,10
10,30,70,10,0.34,0.32,5.882352941
10,20,80,10,0.4,0.38,5
10,0,100,10,,,
10,70,30,15,0.27,0.22,18.51851852
10,60,40,15,0.45,0.31,31.11111111
10,50,50,15,0.41,0.38,7.317073171
15,60,40,15,0.32,0.27,15.625
15,40,60,15,0.4,0.37,7.5
15,40,60,0,,,